2020.10.06 16:12:53 INFO  started: Metals version 0.9.4 in workspace '/home/cn/Project/BUAA/service_computing_2020/assignment1/axis' .
2020.10.06 16:14:58 INFO  time: compiled axis in 3ms
2020.10.06 16:14:58 INFO  Processing
2020.10.06 16:15:00 INFO  Processing
2020.10.06 16:15:00 INFO  compiling axis
2020.10.06 16:15:00 INFO  time: compiled axis in 2ms
2020.10.06 16:15:00 INFO  Processing
2020.10.06 16:15:00 INFO  Processing
2020.10.06 16:15:00 INFO  compiling axis
2020.10.06 16:15:00 INFO  time: compiled axis in 3ms
2020.10.06 16:15:00 INFO  Processing
2020.10.06 16:15:00 INFO  Processing
2020.10.06 16:15:00 INFO  Processing
2020.10.06 16:15:02 INFO  Processing
2020.10.06 16:15:02 INFO  compiling axis
2020.10.06 16:15:02 INFO  time: compiled axis in 2ms
2020.10.06 16:15:02 INFO  Processing
2020.10.06 16:15:02 INFO  Processing
2020.10.06 16:15:02 INFO  compiling axis
2020.10.06 16:15:02 INFO  time: compiled axis in 2ms
2020.10.06 16:15:02 INFO  Processing
2020.10.06 16:15:02 INFO  Processing
2020.10.06 16:15:02 INFO  Processing
2020.10.06 16:27:16 INFO  compiling axis
2020.10.06 16:27:16 INFO  time: compiled axis in 3ms
Oct 07, 2020 9:26:34 AM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTraceNotification
